,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
70,0.7652300834655762,0.006302770082417046,0.02045464515686035,0.0027000907641109542,10,,auto,rbf,"{'C': 10, 'class_weight': None, 'gamma': 'auto', 'kernel': 'rbf'}",0.9,0.8481481481481481,0.8851851851851852,0.8847583643122676,0.862453531598513,0.8761090458488228,0.018418738149269694,1
64,0.7781735420227051,0.00695830573555993,0.01928434371948242,0.00016353183001833755,10,balanced,auto,rbf,"{'C': 10, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'rbf'}",0.8777777777777778,0.8518518518518519,0.8629629629629629,0.8736059479553904,0.8513011152416357,0.8634999311579236,0.01086982682229278,2
58,0.7242819309234619,0.009224346099256351,0.020315933227539062,0.0002550033729616035,5,,auto,rbf,"{'C': 5, 'class_weight': None, 'gamma': 'auto', 'kernel': 'rbf'}",0.825925925925926,0.8111111111111111,0.8185185185185185,0.8215613382899628,0.8029739776951673,0.8160181743081372,0.008116307839369015,3
52,0.7502676486968994,0.006201780703112526,0.020687961578369142,0.0001761182148103721,5,balanced,auto,rbf,"{'C': 5, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'rbf'}",0.8444444444444444,0.7851851851851852,0.7925925925925926,0.8178438661710037,0.8029739776951673,0.8086080132176787,0.021006740394231886,4
63,47.02718544006348,2.51199258115569,0.010680437088012695,0.00016344688268961967,10,balanced,auto,linear,"{'C': 10, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'linear'}",0.7296296296296296,0.7,0.7555555555555555,0.7546468401486989,0.6654275092936803,0.7210519069255128,0.03443822013678746,5
60,47.07191729545593,2.5053986914181814,0.010875415802001954,0.0003867849669915257,10,balanced,scale,linear,"{'C': 10, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'linear'}",0.7296296296296296,0.7,0.7555555555555555,0.7546468401486989,0.6654275092936803,0.7210519069255128,0.03443822013678746,5
66,38.42728037834168,2.624403303943315,0.010719013214111329,0.00024670115901906516,10,,scale,linear,"{'C': 10, 'class_weight': None, 'gamma': 'scale', 'kernel': 'linear'}",0.737037037037037,0.7111111111111111,0.7074074074074074,0.7434944237918215,0.6988847583643123,0.7195869475423379,0.017463302562016655,7
69,38.34240250587463,2.637209702019338,0.010590505599975587,0.0002242540060864517,10,,auto,linear,"{'C': 10, 'class_weight': None, 'gamma': 'auto', 'kernel': 'linear'}",0.737037037037037,0.7111111111111111,0.7074074074074074,0.7434944237918215,0.6988847583643123,0.7195869475423379,0.017463302562016655,7
51,27.80273833274841,1.0071936251463842,0.011205673217773438,0.00013716467643452507,5,balanced,auto,linear,"{'C': 5, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'linear'}",0.725925925925926,0.6925925925925925,0.6962962962962963,0.7546468401486989,0.6617100371747212,0.7062343384276469,0.0316189950946808,9
48,27.77403817176819,1.0433865757346,0.011066102981567382,0.00014509368853891845,5,balanced,scale,linear,"{'C': 5, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'linear'}",0.725925925925926,0.6925925925925925,0.6962962962962963,0.7546468401486989,0.6617100371747212,0.7062343384276469,0.0316189950946808,9
57,23.684589624404907,1.4561678920021446,0.010916996002197265,0.0002250491252253132,5,,auto,linear,"{'C': 5, 'class_weight': None, 'gamma': 'auto', 'kernel': 'linear'}",0.674074074074074,0.6888888888888889,0.6888888888888889,0.7397769516728625,0.6654275092936803,0.691411262563679,0.025798054808985102,11
54,23.522381353378297,1.4439542836864476,0.010850477218627929,0.00015276581106843693,5,,scale,linear,"{'C': 5, 'class_weight': None, 'gamma': 'scale', 'kernel': 'linear'}",0.674074074074074,0.6888888888888889,0.6888888888888889,0.7397769516728625,0.6654275092936803,0.691411262563679,0.025798054808985102,11
